country,perf,lifesat,belong,anxmat,escs,quadrant
ALB,367.54140970566607,8.012252962537984,0.2532919550724197,0.012372711577021377,-0.7514551558746204,lo_hi
ARE,426.8132324409705,6.849934102609832,-0.19998895467237973,0.14107152555202898,0.29665638040482034,lo_lo
ARG,394.8214709445961,6.693164544338116,-0.19670898737799444,0.5271095379166048,-0.80197375331075,lo_lo
AUT,486.31476830337505,6.691933034781047,0.4449821736176513,0.03434888233457177,0.06906735838519017,hi_lo
BGR,414.20028652355535,7.041485639094581,-0.19042332657487956,0.19642269956014743,-0.27220649375191536,lo_hi
BRA,397.34985334214656,6.8486391420861255,-0.20849259900791547,0.5303935633060081,-0.9914729633663945,lo_lo
BRN,439.0600441742684,5.85670285848975,-0.5012569448728339,0.668884790453159,-0.2572575116907797,hi_lo
CHE,497.94852064559717,7.063147458502026,0.35725156538539216,-0.11753396457533795,0.16916674411868815,hi_hi
CHL,434.4063101700169,6.405765532807713,-0.22015998904481343,0.5902940644475732,-0.5086492927143373,hi_lo
COL,400.8275115735134,6.961906956216509,-0.15690718899033107,0.5419823464162192,-1.0651248666066762,lo_lo
CRI,403.59858170527605,7.317624423314707,-0.09415390327699796,0.5165774026217608,,lo_hi
CZE,491.114974425253,6.555996202940524,-0.2798947879511478,0.019904772408261034,-0.10408606887443415,hi_lo
DEU,482.349069389536,6.509149364854929,0.2698725896476903,0.10112740030775187,-0.1369900180181201,hi_lo
DNK,490.63019311347915,7.189080519382735,0.1091869580895332,-0.11658098333469073,0.47607773941944276,hi_hi
DOM,350.2818643878858,7.4382234265010085,-0.2302724295286979,0.5088604949560771,-0.7096963763568349,lo_hi
ESP,477.32698962619924,6.883131888553647,0.2725345608613883,0.36709823726590335,-0.033199497264932515,hi_lo
EST,515.5963544543516,6.913237092549922,-0.13748266507281537,0.013624635587440745,0.1507251881096396,hi_lo
FIN,495.10525366013184,7.407886008061902,0.10115776003236156,-0.2893713230943955,0.2584828367937594,hi_hi
FRA,478.34061838764575,6.769969573626581,-0.026856756877333545,0.13331878536112407,0.00018539079304115026,hi_lo
GBR,494.3499749523372,6.071123704253398,-0.20917626586370694,0.039049163429512423,0.13638065860924,hi_lo
GEO,382.6500101481167,7.622894217231425,-0.0491376136700256,0.04499517861329844,-0.46609404448686065,lo_hi
GRC,436.4576691840634,6.620917054774318,-0.05972651711016467,0.26068757483411126,-0.154869593520961,hi_lo
GTM,363.76137097897146,7.723906823501985,-0.18086965113768327,0.6818802730719377,-1.5128962163908557,lo_hi
HKG,520.157273881256,6.489779591146623,-0.38775376727287647,0.23140531688483093,-0.46185793719116375,hi_lo
HRV,473.7571950067726,7.3666675605362,0.13308232398251787,0.10630248866519702,-0.15196359991172306,hi_hi
HUN,477.2136689364378,7.213823271223659,0.1385881221812933,-0.2066611551184691,0.0029782271706394908,hi_hi
IDN,368.98617538018414,7.2237048924236955,-0.13467309002320452,,-1.5558470233963568,lo_hi
IRL,503.8345973536859,6.585387860198386,-0.13205507079470163,0.20557499108439162,0.3329791371384958,hi_lo
ISL,447.26804104276766,6.901438420725371,0.16405403611021052,0.0568463431753278,0.3781051237992792,hi_lo
ITA,476.7737064144743,6.5295350859913395,-0.06472088589937232,0.3941327511246793,-0.10021047625315674,hi_lo
JAM,396.66122913553056,5.831844013217965,-0.3391935967448343,0.47287790760052073,-0.5503355620693652,lo_lo
JOR,359.3069811196854,6.767295413912027,-0.21153230015706045,0.23388975463586664,-0.8164571700685551,lo_lo
JPN,532.6894577653442,6.758771449616558,0.24595837604595877,0.3258866199637332,-0.006825021709761774,hi_lo
KAZ,411.62997419956116,8.410884387819832,-0.14292888738838058,0.17772531895855642,-0.3723667452209884,lo_hi
KHM,337.4476612768229,7.64853578631753,-0.4270006898393434,0.4964313161981819,-2.0113231811312,lo_hi
KOR,523.5134373840897,6.360010020866498,0.26251164126913207,-0.054792600676415296,0.22438568549861265,hi_lo
KSV,351.39363865917437,7.865501204143425,,0.256009002571544,-0.34323317685216137,lo_hi
LTU,477.1481325570715,7.140671320235303,-0.02342418909788948,0.18221382107749162,0.052295066124230585,hi_hi
LVA,483.85695766036736,6.757647239726813,-0.24537477751935416,0.23490760144975373,-0.009482523427919614,hi_lo
MAC,535.1415187326542,6.409958034080509,-0.3115368151164352,0.28061675085327226,-0.44889412102099785,hi_lo
MAR,356.5097471408147,6.7591025340634205,-0.2860639334740473,0.4064220633602178,-1.7845360016671208,lo_lo
MDA,413.99747902344023,7.00905807107685,-0.05959782104855741,0.36256244359651363,-0.522542343064163,lo_hi
MEX,406.7584932093165,7.259143642637784,-0.18321320726496382,0.5446763566893131,-0.9524373255716473,lo_hi
MKD,375.65757847708096,7.652880389961144,0.1200434333519265,0.16662280642146896,-0.27981664973100984,lo_hi
MLT,458.96789663890763,6.235423665622561,-0.2370230769002816,0.36560762915771866,0.01924946963891799,hi_lo
MNE,404.5839572753457,7.524882283172274,0.13573132634901436,0.16124520390314015,-0.20551682878286992,lo_hi
MNG,405.131846396191,7.197468832591647,-0.15041731595743,0.3241192936635804,-0.7291488625589954,lo_hi
MYS,404.3604520306745,6.634264194357846,-0.27277064930768125,0.49575239894964435,-0.6848914977984744,lo_lo
NLD,480.0784610656143,7.290326307552586,0.10237876017937664,-0.2180649756610752,0.2534607822800931,hi_hi
NZL,494.68550306473196,6.271405332676197,-0.2878446314429587,0.22242438931775443,0.21906359919765708,hi_lo
PAN,378.7648278156851,7.036636835260052,-0.19132542628509674,0.6101222467607392,-0.9467632798211757,lo_hi
PER,402.4204672387802,6.370117518862999,-0.20245438066862523,0.531596779850355,-1.1534973668700967,lo_lo
PHL,352.4781310898077,6.974042120582507,-0.37760517791201853,,-1.337900372339946,lo_hi
POL,492.2793483021544,6.256336916700394,-0.31210981557683715,0.2575612906237791,-0.10514068515163943,hi_lo
PRT,477.6241991192667,7.056148934010525,0.08436959236315315,0.1403831517514668,-0.22635525994346117,hi_hi
PRY,359.67440976455896,7.3237742167529305,-0.24195532680606222,0.626933781738842,-1.2449073955603192,lo_hi
PSE,361.2396071598005,7.084978415993959,-0.16683105936875064,0.22351646047515736,-0.9119491977041476,lo_hi
QAT,421.93766796714567,6.769089118630603,-0.15620972359110016,0.18720214019505005,0.10747423028135135,lo_lo
QAZ,380.7466129047137,6.802792421625717,-0.16620616518816728,0.1537973278241657,-0.5093424757669788,lo_lo
QUR,439.51983317456467,7.347590395069821,-0.08210783651128227,0.1999355371303461,-0.35106736893698254,hi_hi
ROU,427.9223738654268,7.530009120604027,-0.0172624434193148,0.1684783690907221,-0.36212655566693946,lo_hi
SAU,387.2400906527376,7.364792858158439,0.0021375021863119263,0.10508538784026457,-0.28960892401505084,lo_hi
SLV,360.5046863440052,7.395212638169957,-0.26903545811084345,0.5941773795337103,-1.391598156704186,lo_hi
SRB,442.56410020071723,7.477982072571181,0.1805049386490097,0.19712591235060029,-0.20239388689623117,hi_hi
SVK,457.7082363339669,7.016838744075104,-0.20072176769533145,0.24131843997181418,-0.3029966638479775,hi_hi
SVN,484.34330127373585,6.607698602092087,0.03857590553917451,0.20214277410843037,0.22580826383510563,hi_lo
SWE,487.4301800893716,6.906332639134426,0.08834287719719935,-0.07229328260345977,0.326591020590031,hi_lo
TAP,533.2139451818682,6.846478202651771,0.01298399317007949,0.28539317478229287,-0.18541301096194934,hi_lo
THA,393.9575563024042,7.124703828625853,-0.34325224306415436,,-1.231038646023137,lo_hi
TUR,461.72453674192724,4.8981856113784605,-0.30048130769486137,0.5946138765365565,-1.1854430482598908,hi_lo
URY,424.81885454454715,7.034958104741486,-0.08233223222841249,0.37140469556313704,-0.8328537154717345,lo_hi
UZB,351.43461319946147,8.197237672833097,0.08308614794456844,0.04284847501243421,-0.6886793689979404,lo_hi
VNM,467.8904518072481,7.351989885737328,-0.28224621578658743,0.44833166060879454,-1.288418088460705,hi_hi
